# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
1             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	6.500000e+00	(-2.060000e-02 1.594203e-04 1.400103e-21)
2             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	1.138973e+01	(-3.957092e-04 1.594203e-04 -2.485108e-21)
3             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	1.554437e+01	(-3.957092e-04 1.594203e-04 -2.485108e-21)
4             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	1.418870e+01	(2.644796e-04 1.599403e-04 -4.718007e-21)
5             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.593228e+00	(7.949235e-04 1.609832e-04 -3.073944e-20)
6             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.950341e+00	(7.947134e-04 -1.998231e-03 -4.427105e-21)
7             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.970059e+00	(7.947134e-04 -1.998231e-03 -4.427105e-21)
8             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.968281e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
9             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	1.013784e+01	(2.874282e-01 -1.655703e-02 1.902175e-20)
10            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	9.086160e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
11            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.344614e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
12            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	6.789108e+00	(-1.264799e-02 2.473835e-02 -2.803006e-20)
13            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.328402e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
14            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.308553e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
15            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.622011e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
16            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.185674e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
17            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.628190e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
18            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.499628e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
19            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.789392e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
20            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.112373e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
21            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.171756e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
22            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.002193e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
23            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.835428e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
