# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
1             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	6.500000e+00	(-2.060000e-02 1.594203e-04 1.400103e-21)
2             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	1.135556e+01	(-3.957092e-04 1.594203e-04 -2.485108e-21)
3             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	1.549552e+01	(-3.957092e-04 1.594203e-04 -2.485108e-21)
4             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	1.403665e+01	(2.644796e-04 1.599403e-04 -4.718007e-21)
5             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.455485e+00	(-4.785636e-03 4.897030e-04 1.180688e-20)
6             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.725800e+00	(7.947134e-04 -1.998231e-03 -4.427105e-21)
7             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.896602e+00	(7.947134e-04 -1.998231e-03 -4.427105e-21)
8             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.816145e+00	(-3.957092e-04 1.594203e-04 -2.485108e-21)
9             	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	1.011617e+01	(2.874282e-01 -1.655703e-02 1.902175e-20)
10            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	9.383674e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
11            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.538318e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
12            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	6.785884e+00	(-1.264799e-02 2.473835e-02 -2.803006e-20)
13            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	6.997068e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
14            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.051965e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
15            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.593046e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
16            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.317918e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
17            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.702031e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
18            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.404806e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
19            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.589311e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
20            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.960509e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
21            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.146413e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
22            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.070735e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
23            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.905471e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
24            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.819340e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
25            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.873546e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
26            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.981369e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
27            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.034935e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
28            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.006630e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
29            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.956669e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
30            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.937346e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
31            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.955752e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
32            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.989578e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
33            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.014159e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
34            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.016841e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
35            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.002819e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
36            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.989933e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
37            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.985896e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
38            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.990836e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
39            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.000035e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
40            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	8.003909e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
41            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.998065e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
42            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.988075e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
43            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.982702e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
44            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.982945e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
45            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.984837e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
46            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.983835e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
47            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.979098e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
48            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.973336e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
49            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.969512e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
50            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.967704e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
51            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.966162e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
52            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.963106e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
53            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.958644e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
54            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.954520e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
55            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.951242e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
56            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.948608e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
57            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.945844e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
58            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.942533e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
59            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.938768e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
60            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.934940e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
61            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.931442e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
62            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.928321e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
63            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.925269e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
64            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.922099e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
65            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.918807e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
66            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.915487e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
67            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.912221e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
68            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.908989e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
69            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.905723e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
70            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.902401e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
71            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.899027e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
72            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.895626e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
73            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.892225e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
74            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.888824e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
75            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.885379e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
76            	mag(U)        	0.000000e+00	(-1.980858e-02 2.540000e-02 -1.473427e-21)	7.881817e+00	(2.874282e-01 -1.655703e-02 1.902175e-20)
